,date,SBID,obs_freq,project,flux_int,flux_int_err,local_rms,forced_flux_int_I,forced_flux_int_I_err,stokes_I_fits,forced_flux_int_V,forced_flux_int_V_err,stokes_V_fits,psf_bmin,psf_bmaj,psf_bpa
7,2020-06-21 15:22:59.534,14980,887.491,RACS,,,1.088991782935701,2.93707704404449,1.8503800089902802,data/ASKAPJ1839-0756 /img_Stokes_I/cutout-1653089-imagecube-28301.fits,,,,0.00367862836927259,0.00320584084971612,81.8946377332692
116,2020-06-21 15:39:34.862,14981,887.491,RACS,,,0.3446873417687904,-0.628568385363522,0.5724193215195202,data/ASKAPJ1839-0756 /img_Stokes_I/cutout-1653091-imagecube-28283.fits,,,,0.00374147474427335,0.0032172472881765,83.2631471995455
35,2021-01-29 02:36:47.800,22155,1367.49,RACS,,,0.20822956943891824,0.32689558890029985,0.3371231764623272,data/ASKAPJ1839-0756 /img_Stokes_I/cutout-1653093-imagecube-98964.fits,-0.13082117688047726,0.263168935745886,data/ASKAPJ1839-0756 /img_Stokes_V/cutout-1653241-imagecube-98976.fits,0.00252777777777778,0.00205555555555556,73.31
158,2022-02-05 02:29:18.700,37154,1655.49,RACS,,,0.23040401021741766,-0.10809034917077555,0.39764495744625655,data/ASKAPJ1839-0756 /img_Stokes_I/cutout-1653094-imagecube-355074.fits,-0.26335050062111764,0.3489507356956508,data/ASKAPJ1839-0756 /img_Stokes_V/cutout-1653243-imagecube-355086.fits,0.0025,0.00166666666666667,-59.65
164,2022-04-06 20:56:15.200,39028,887.491,RACS,,,1.0736924651969568,0.907322005915175,1.8066366350697993,data/ASKAPJ1839-0756 /img_Stokes_I/cutout-1653095-imagecube-412677.fits,1.0286363081424954,1.3181620767423001,data/ASKAPJ1839-0756 /img_Stokes_V/cutout-1653245-imagecube-412689.fits,0.00363888888888889,0.00322222222222222,74.51
34,2022-04-06 21:16:23.800,39029,887.491,RACS,,,0.3605945825403323,0.2860832010439984,0.6121481036176278,data/ASKAPJ1839-0756 /img_Stokes_I/cutout-1653096-imagecube-412437.fits,0.17557908520988103,0.4076784149325448,data/ASKAPJ1839-0756 /img_Stokes_V/cutout-1653249-imagecube-412449.fits,0.00366666666666667,0.00322222222222222,75.45
103,2022-09-03 07:37:08.400,43636,1367.49,pilot_science_too_guest,,,0.11093368433178233,-0.01684162728364422,0.16458290970457407,data/ASKAPJ1839-0756 /img_Stokes_I/cutout-1653097-imagecube-73549.fits,-0.056733174166094684,0.1422879080864984,data/ASKAPJ1839-0756 /img_Stokes_V/cutout-1653253-imagecube-73581.fits,0.00275,0.00225,-87.39
58,2022-09-14 07:34:03.800,44023,1367.49,pilot_science_too_guest,,,0.11903654809495114,0.049248370433759854,0.19088559914773334,data/ASKAPJ1839-0756 /img_Stokes_I/cutout-1653098-imagecube-73907.fits,-0.1429684525270277,0.15870545684862974,data/ASKAPJ1839-0756 /img_Stokes_V/cutout-1653254-imagecube-73941.fits,0.00244444444444444,0.00216666666666667,62.32
117,2023-02-04 03:20:07.700,47634,887.491,pilot_science_too_guest,,,0.17569404250412377,-0.45126128918917113,0.28071802210640506,data/ASKAPJ1839-0756 /img_Stokes_I/cutout-1652979-imagecube-121275.fits,-0.08935995703467857,0.18081529805870067,data/ASKAPJ1839-0756 /img_Stokes_V/cutout-1653214-imagecube-121285.fits,0.00383666267351,0.00319821957912017,88.2993895374986
124,2023-02-04 05:25:02.500,47636,887.491,pilot_science_too_guest,,,0.19191880173776654,0.9213546952807942,0.41091955380905204,data/ASKAPJ1839-0756 /img_Stokes_I/cutout-1652981-imagecube-121443.fits,0.2771807996120929,0.23266937783229397,data/ASKAPJ1839-0756 /img_Stokes_V/cutout-1653215-imagecube-121451.fits,0.00606768981260811,0.00309439508315139,-70.3871646992722
101,2023-02-24 19:44:31.800,48586,887.491,pilot_science_too_guest,,,0.09990816786995128,0.04407022477236015,0.1626468643505923,data/ASKAPJ1839-0756 /img_Stokes_I/cutout-1653071-imagecube-126757.fits,-0.24381174245822357,0.10611517139351365,data/ASKAPJ1839-0756 /img_Stokes_V/cutout-1653219-imagecube-126771.fits,0.00383333333333333,0.00308333333333333,58.81
87,2024-01-03 04:49:27.200,56614,943.491,RACS,,,0.2910259719241227,-0.13890931602480244,0.43402443486204895,data/ASKAPJ1839-0756 /img_Stokes_I/cutout-1653104-imagecube-245134.fits,-0.09771011277127245,0.2925169857472769,data/ASKAPJ1839-0756 /img_Stokes_V/cutout-1653144-imagecube-245146.fits,0.00344444444444444,0.00288888888888889,76.33
66,2024-01-04 04:42:06.400,56677,943.491,RACS,,,1.58646224018728,4.259923924991609,2.841007412230556,data/ASKAPJ1839-0756 /img_Stokes_I/cutout-1653105-imagecube-246882.fits,-0.2816311197025964,2.128315522488221,data/ASKAPJ1839-0756 /img_Stokes_V/cutout-1653147-imagecube-246894.fits,0.00358333333333333,0.00288888888888889,76.47
154,2024-01-26 03:13:14.900,57929,943.491,RACS,262.72698974609375,1.3580000400543213,0.8109999895095825,227.6743502183785,1.1854562937895339,data/ASKAPJ1839-0756 /img_Stokes_I/cutout-1653106-imagecube-273124.fits,90.66791331049579,0.5023575412376629,data/ASKAPJ1839-0756 /img_Stokes_V/cutout-1653150-imagecube-273136.fits,0.00347222222222222,0.00294444444444444,78.28
18,2024-01-27 02:50:57.400,58009,943.491,RACS,,,1.452645464741858,0.9133694257969149,2.5847675431183226,data/ASKAPJ1839-0756 /img_Stokes_I/cutout-1653107-imagecube-274062.fits,0.7497601315398711,2.0005316495795897,data/ASKAPJ1839-0756 /img_Stokes_V/cutout-1653154-imagecube-274074.fits,0.00352777777777778,0.00297222222222222,77.37
11,2024-02-01 02:49:45.600,58387,943.491,pilot_science_too_guest,4.584000110626221,0.27300000190734863,0.16099999845027924,4.046799075816828,0.28613918181105846,data/ASKAPJ1839-0756 /img_Stokes_I/cutout-1653108-imagecube-276508.fits,1.3525052469687222,0.1684620783234457,data/ASKAPJ1839-0756 /img_Stokes_V/cutout-1653157-imagecube-276516.fits,0.00446750325582685,0.00296798354206603,-52.1124169700134
148,2024-02-03 21:08:17.100,58609,943.491,pilot_science_too_guest,25.94499969482422,1.2100000381469727,0.6880000233650208,24.74052902276782,0.6416507617745663,data/ASKAPJ1839-0756 /img_Stokes_I/cutout-1653109-imagecube-276562.fits,0.7080853045312574,0.14162107388175363,data/ASKAPJ1839-0756 /img_Stokes_V/cutout-1653161-imagecube-276576.fits,0.00411111111111111,0.00308333333333333,-65.84
113,2024-02-06 20:59:41.600,58753,943.491,pilot_science_too_guest,19.864999771118164,0.6919999718666077,0.4169999957084656,18.422858882906073,0.33300823412705904,data/ASKAPJ1839-0756 /img_Stokes_I/cutout-1653110-imagecube-277638.fits,0.1955953179416131,0.07364961404754808,data/ASKAPJ1839-0756 /img_Stokes_V/cutout-1653164-imagecube-277646.fits,0.00330157193560578,0.00284132475565562,71.8947778964393
130,2024-02-12 02:01:18.500,59067,943.491,RACS,,,0.314310145477576,1.0684315016272916,0.47225981061737915,data/ASKAPJ1839-0756 /img_Stokes_I/cutout-1652941-imagecube-281512.fits,-0.3034718583638507,0.30482093190403126,data/ASKAPJ1839-0756 /img_Stokes_V/cutout-1653169-imagecube-281524.fits,0.00336111111111111,0.00291666666666667,83.33
31,2024-02-29 02:50:25.200,59605,943.491,pilot_science_too_guest,11.11299991607666,0.34299999475479126,0.19900000095367432,10.764487366510194,0.3569131054716066,data/ASKAPJ1839-0756 /img_Stokes_I/cutout-1652942-imagecube-294258.fits,5.612237385735347,0.20920228378430264,data/ASKAPJ1839-0756 /img_Stokes_V/cutout-1653173-imagecube-294272.fits,0.00463888888888889,0.00313888888888889,-75.49
125,2024-03-01 21:36:42.300,59659,943.491,pilot_science_too_guest,,,0.1550572081209084,0.14755319232418238,0.25719666153040954,data/ASKAPJ1839-0756 /img_Stokes_I/cutout-1652943-imagecube-294346.fits,-0.12187864454514674,0.1601530237837922,data/ASKAPJ1839-0756 /img_Stokes_V/cutout-1653231-imagecube-294356.fits,0.0035974514212376,0.00305471021936222,71.8364656758516
120,2024-03-15 18:19:26.400,60091,943.491,pilot_science_too_guest,29.500999450683594,0.5929999947547913,0.3799999952316284,27.31998204259052,0.41714147976492044,data/ASKAPJ1839-0756 /img_Stokes_I/cutout-1652944-imagecube-301797.fits,-1.2711604501201508,0.11469630546881916,data/ASKAPJ1839-0756 /img_Stokes_V/cutout-1653232-imagecube-301805.fits,0.00336579733471494,0.00283883935850376,71.6203527525487
107,2024-04-04 22:05:14.200,60804,887.491,VAST,,,1.2799416032296578,2.3376204770527154,2.156092930223289,data/ASKAPJ1839-0756 /img_Stokes_I/cutout-1652945-imagecube-319141.fits,0.18398682299218516,1.5987357455357847,data/ASKAPJ1839-0756 /img_Stokes_V/cutout-1653233-imagecube-319169.fits,0.00369444444444445,0.00316666666666667,75.8
73,2024-04-05 21:11:30.900,60866,887.491,VAST,,,0.4010727425285785,-0.898195576909101,0.6842237271627382,data/ASKAPJ1839-0756 /img_Stokes_I/cutout-1652946-imagecube-319609.fits,-0.16969032622475516,0.46256901671707057,data/ASKAPJ1839-0756 /img_Stokes_V/cutout-1653234-imagecube-319637.fits,0.00369444444444445,0.00316666666666667,81.47
134,2024-04-19 20:30:49.000,61307,887.491,VAST,,,1.26006931488837,-0.2924203108176565,2.1376145840930056,data/ASKAPJ1839-0756 /img_Stokes_I/cutout-1652948-imagecube-322561.fits,0.13201555507132778,1.6030262355467588,data/ASKAPJ1839-0756 /img_Stokes_V/cutout-1653236-imagecube-322589.fits,0.00361111111111111,0.00319444444444445,73.24
144,2024-04-19 21:15:26.400,61310,887.491,VAST,,,0.3859483505542266,-0.08942783894666968,0.6580313033012496,data/ASKAPJ1839-0756 /img_Stokes_I/cutout-1652949-imagecube-322705.fits,-0.13512135555045457,0.4261741694578988,data/ASKAPJ1839-0756 /img_Stokes_V/cutout-1653237-imagecube-322733.fits,0.00366666666666667,0.00319444444444445,74.49
13,2024-05-03 20:51:23.200,62030,887.491,VAST,,,1.8795037155225893,1.3785241310908927,3.0486871773171678,data/ASKAPJ1839-0756 /img_Stokes_I/cutout-1652951-imagecube-335354.fits,-0.01429532719022415,1.8989232631734876,data/ASKAPJ1839-0756 /img_Stokes_V/cutout-1653247-imagecube-335382.fits,0.00405555555555556,0.00311111111111111,78.3
137,2024-05-03 21:31:42.000,62032,887.491,VAST,26.729000091552734,1.0520000457763672,0.6060000061988831,25.141444059891697,1.1090324232516082,data/ASKAPJ1839-0756 /img_Stokes_I/cutout-1652952-imagecube-335390.fits,5.289386093126019,0.543525258897743,data/ASKAPJ1839-0756 /img_Stokes_V/cutout-1653251-imagecube-335418.fits,0.00427777777777778,0.00311111111111111,79.45
59,2024-05-19 19:20:22.300,62473,887.491,VAST,,,1.416632941635832,2.8644142196517803,2.380855542820764,data/ASKAPJ1839-0756 /img_Stokes_I/cutout-1652954-imagecube-343830.fits,1.0057439296015118,1.7848435897195885,data/ASKAPJ1839-0756 /img_Stokes_V/cutout-1653151-imagecube-343858.fits,0.00377777777777778,0.00311111111111111,74.88
168,2024-05-20 17:29:41.600,62488,887.491,VAST,,,0.42152143567508055,0.4277807420286861,0.6712708810403867,data/ASKAPJ1839-0756 /img_Stokes_I/cutout-1652955-imagecube-345136.fits,0.09279728580516725,0.43149256708681516,data/ASKAPJ1839-0756 /img_Stokes_V/cutout-1653152-imagecube-345164.fits,0.00416666666666667,0.00322222222222222,86.44
