,date,SBID,obs_freq,project,flux_int,flux_int_err,local_rms,forced_flux_int_I,forced_flux_int_I_err,stokes_I_fits,forced_flux_int_V,forced_flux_int_V_err,stokes_V_fits,psf_bmin,psf_bmaj,psf_bpa
5,2019-04-30 22:20:50.630,8600,887.491,RACS,,,0.3039431074588594,0.6696215955150431,0.5527517040007959,data/J1912-4410/img_Stokes_I/cutout-1653744-imagecube-19405.fits,,,,0.00490289512255854,0.00409455820667924,-75.6463833065614
9,2020-07-05 13:30:19.300,15229,855.491,FLASH_pilot,,,0.07308720392857868,0.12818782166562986,0.11600402073423428,data/J1912-4410/img_Stokes_I/cutout-1653735-imagecube-129355.fits,,,,0.00361655603914688,0.00334849751321979,-64.0153828561971
1,2020-12-26 05:46:48.100,20363,1367.49,RACS,,,0.2410155517506005,0.7842163485832021,0.4397314505426693,data/J1912-4410/img_Stokes_I/cutout-1653736-imagecube-76441.fits,0.6011943247840221,0.41591169224443997,data/J1912-4410/img_Stokes_V/cutout-1653749-imagecube-76453.fits,0.00280555555555556,0.00233333333333333,31.64
3,2020-12-27 05:11:05.800,20403,1367.49,RACS,,,0.2208718099817869,0.13162839815646865,0.32316752928099923,data/J1912-4410/img_Stokes_I/cutout-1653737-imagecube-77021.fits,-0.077453935656074,0.30020591752313125,data/J1912-4410/img_Stokes_V/cutout-1653750-imagecube-77033.fits,0.00269444444444444,0.00236111111111111,23.64
10,2021-12-31 05:34:44.300,35023,1655.49,RACS,,,0.27244459504249574,-0.17575287760571529,0.5185984415834088,data/J1912-4410/img_Stokes_I/cutout-1653738-imagecube-358498.fits,-0.4910599376252143,0.5056593588754369,data/J1912-4410/img_Stokes_V/cutout-1653751-imagecube-358510.fits,0.00258333333333333,0.00183333333333333,-45.41
12,2022-01-28 03:39:01.100,36615,1655.49,RACS,,,0.24665296180997415,0.20623042796842356,0.3646009924377595,data/J1912-4410/img_Stokes_I/cutout-1653740-imagecube-353334.fits,0.07701784103528078,0.3515535482772673,data/J1912-4410/img_Stokes_V/cutout-1653752-imagecube-353346.fits,0.00202777777777778,0.00169444444444444,52.5
2,2022-03-26 23:51:10.900,38607,887.491,RACS,,,0.35702645468514393,0.8645673719634984,0.6142807850127288,data/J1912-4410/img_Stokes_I/cutout-1653730-imagecube-396884.fits,-0.17586560639189044,0.5961987808979261,data/J1912-4410/img_Stokes_V/cutout-1653753-imagecube-396896.fits,0.00355555555555556,0.00319444444444445,36.47
4,2022-03-30 23:30:03.400,38750,887.491,RACS,,,0.16844445549272305,-0.014550310687215448,0.28773351934988184,data/J1912-4410/img_Stokes_I/cutout-1653731-imagecube-402116.fits,0.12716445738964374,0.24985420652479318,data/J1912-4410/img_Stokes_V/cutout-1653754-imagecube-402128.fits,0.00363888888888889,0.00316666666666667,48.18
8,2023-08-06 08:24:17.500,51858,943.491,EMU,0.32499998807907104,0.06700000166893005,0.03799999877810478,0.284965986478929,0.05254406778658429,data/J1912-4410/img_Stokes_I/cutout-1653732-imagecube-180135.fits,0.08297480728343003,0.20170418771698864,data/J1912-4410/img_Stokes_V/cutout-1653755-imagecube-180154.fits,0.00416666666666667,0.00416666666666667,0.0
13,2023-12-22 06:03:30.500,55677,943.491,RACS,,,0.17766296073022952,0.5383522559283586,0.2616044490085095,data/J1912-4410/img_Stokes_I/cutout-1653733-imagecube-231462.fits,0.05696124765118474,0.24655017448520206,data/J1912-4410/img_Stokes_V/cutout-1653756-imagecube-231474.fits,0.00333333333333333,0.00294444444444444,50.91
7,2023-12-30 05:45:07.700,56306,943.491,RACS,,,0.20086817893668144,0.263817673038114,0.2923461930765122,data/J1912-4410/img_Stokes_I/cutout-1653734-imagecube-242034.fits,-0.08527260602195094,0.2706056659977534,data/J1912-4410/img_Stokes_V/cutout-1653757-imagecube-242046.fits,0.00344444444444444,0.00291666666666667,45.68
14,2024-12-05 06:59:17.400,68913,1367.49,RACS,,,0.2485123882992291,-0.07331108772284985,0.4162979185227055,data/J1912-4410/img_Stokes_I/cutout-1653741-imagecube-546997.fits,-0.23322889036952466,0.3889870519998112,data/J1912-4410/img_Stokes_V/cutout-1653746-imagecube-547009.fits,0.00236111111111111,0.00205555555555555,49.83
0,2025-11-15 05:35:37.700,79073,855.491,FLASH,,,0.105742423426893,0.5612200818575647,0.186352872918593,data/J1912-4410/img_Stokes_I/cutout-1653742-imagecube-551608.fits,0.15089424193013556,0.20497679429875051,data/J1912-4410/img_Stokes_V/cutout-1653747-imagecube-551619.fits,0.00686111111111111,0.00577777777777778,-23.52
6,2025-11-25 04:55:37.400,79416,855.491,FLASH,,,0.2750953279027486,3.474512679458354,0.514698849051274,data/J1912-4410/img_Stokes_I/cutout-1653743-imagecube-556330.fits,-3.543020544470381,0.4878165944277083,data/J1912-4410/img_Stokes_V/cutout-1653748-imagecube-556342.fits,0.00727777777777778,0.00566666666666667,-32.05
