,date,SBID,obs_freq,project,flux_int,flux_int_err,local_rms,forced_flux_int_I,forced_flux_int_I_err,stokes_I_fits,forced_flux_int_V,forced_flux_int_V_err,stokes_V_fits,psf_bmin,psf_bmaj,psf_bpa
127,2020-06-21 15:22:59.534,14980,887.491,RACS,15.931,0.211,1.2269999980926514,14.445502310991287,2.065836894235396,data/PSRJ1837–0616/img_Stokes_I/cutout-1312109-imagecube-28301.fits,,,,0.00367862836927259,0.00320584084971612,81.8946377332692
134,2020-06-21 15:22:59.534,14980,887.491,RACS,15.931,0.211,1.2269999980926514,14.445502310991287,2.065836894235396,data/PSRJ1837–0616/img_Stokes_I/cutout-1348404-imagecube-28301.fits,,,,0.00367862836927259,0.00320584084971612,81.8946377332692
96,2020-06-21 15:39:34.862,14981,887.491,RACS,14.555,0.134,1.3600000143051147,13.116942718625069,2.1147502694602602,data/PSRJ1837–0616/img_Stokes_I/cutout-1348405-imagecube-28283.fits,,,,0.00374147474427335,0.0032172472881765,83.2631471995455
32,2020-06-21 15:39:34.862,14981,887.491,RACS,14.555,0.134,1.3600000143051147,13.196554966270924,2.704277135756852,data/PSRJ1837–0616/img_Stokes_I/cutout-1312110-imagecube-28284.fits,,,,0.00425,0.00355555555555556,89.55
193,2021-01-26 03:10:37.200,21997,1367.49,RACS,5.507,1.284,0.7570000290870667,4.783283453434706,1.0505681859020628,data/PSRJ1837–0616/img_Stokes_I/cutout-1312111-imagecube-97724.fits,0.1614684151718393,0.3003091041562755,data/PSRJ1837–0616/img_Stokes_V/cutout-1312232-imagecube-97736.fits,0.00275,0.00202777777777778,75.73
83,2021-01-26 03:10:37.200,21997,1367.49,RACS,5.507,1.284,0.7570000290870667,4.783283453434706,1.0505681859020628,data/PSRJ1837–0616/img_Stokes_I/cutout-1348406-imagecube-97724.fits,0.1614684151718393,0.3003091041562755,data/PSRJ1837–0616/img_Stokes_V/cutout-1312232-imagecube-97736.fits,0.00275,0.00202777777777778,75.73
163,2022-01-29 02:58:01.600,36665,1655.49,RACS,2.582,0.918,0.5230000019073486,2.1431888453662395,0.8752650205714569,data/PSRJ1837–0616/img_Stokes_I/cutout-1348407-imagecube-354234.fits,-0.20161860447842628,0.36000836072424097,data/PSRJ1837–0616/img_Stokes_V/cutout-1312233-imagecube-354246.fits,0.00216666666666667,0.00172222222222222,73.9
44,2022-01-29 02:58:01.600,36665,1655.49,RACS,2.582,0.918,0.5230000019073486,2.1431888453662395,0.8752650205714569,data/PSRJ1837–0616/img_Stokes_I/cutout-1312112-imagecube-354234.fits,-0.20161860447842628,0.36000836072424097,data/PSRJ1837–0616/img_Stokes_V/cutout-1312233-imagecube-354246.fits,0.00216666666666667,0.00172222222222222,73.9
78,2022-04-06 20:56:15.200,39028,887.491,RACS,13.745,1.99,1.1929999589920044,12.308741919696331,2.2971088506860964,data/PSRJ1837–0616/img_Stokes_I/cutout-1312113-imagecube-412677.fits,1.1463455157354474,0.5019224822945536,data/PSRJ1837–0616/img_Stokes_V/cutout-1312234-imagecube-412689.fits,0.00363888888888889,0.00322222222222222,74.51
117,2022-04-06 20:56:15.200,39028,887.491,RACS,13.745,1.99,1.1929999589920044,12.308741919696331,2.2971088506860964,data/PSRJ1837–0616/img_Stokes_I/cutout-1348408-imagecube-412677.fits,1.1463455157354474,0.5019224822945536,data/PSRJ1837–0616/img_Stokes_V/cutout-1312234-imagecube-412689.fits,0.00363888888888889,0.00322222222222222,74.51
100,2022-04-06 21:16:23.800,39029,887.491,RACS,14.179,2.404,1.4620000123977661,12.329303659498692,2.3740983720041684,data/PSRJ1837–0616/img_Stokes_I/cutout-1312114-imagecube-412437.fits,0.8197729475796223,0.46469475837979546,data/PSRJ1837–0616/img_Stokes_V/cutout-1348508-imagecube-412449.fits,0.00366666666666667,0.00322222222222222,75.45
8,2022-04-06 21:16:23.800,39029,887.491,RACS,14.179,2.404,1.4620000123977661,12.329303659498692,2.3740983720041684,data/PSRJ1837–0616/img_Stokes_I/cutout-1348409-imagecube-412437.fits,0.8197729475796223,0.46469475837979546,data/PSRJ1837–0616/img_Stokes_V/cutout-1348508-imagecube-412449.fits,0.00366666666666667,0.00322222222222222,75.45
64,2024-01-03 04:49:27.200,56614,943.491,RACS,,,2.118991970075372,5.896447226405144,3.129645401595477,data/PSRJ1837–0616/img_Stokes_I/cutout-1312117-imagecube-245134.fits,0.47763530164957047,1.0837286375710788,data/PSRJ1837–0616/img_Stokes_V/cutout-1312238-imagecube-245146.fits,0.00344444444444444,0.00288888888888889,76.33
135,2024-01-03 04:49:27.200,56614,943.491,RACS,,,2.118991970075372,5.896447226405144,3.129645401595477,data/PSRJ1837–0616/img_Stokes_I/cutout-1348412-imagecube-245134.fits,0.47763530164957047,1.0837286375710788,data/PSRJ1837–0616/img_Stokes_V/cutout-1312238-imagecube-245146.fits,0.00344444444444444,0.00288888888888889,76.33
61,2024-01-04 04:42:06.400,56677,943.491,RACS,9.921,1.903,1.062999963760376,8.27685371041298,2.14414261337774,data/PSRJ1837–0616/img_Stokes_I/cutout-1348413-imagecube-246882.fits,1.1667662765830755,0.40383989367629086,data/PSRJ1837–0616/img_Stokes_V/cutout-1348512-imagecube-246894.fits,0.00358333333333333,0.00288888888888889,76.47
164,2024-01-04 04:42:06.400,56677,943.491,RACS,9.921,1.903,1.062999963760376,8.27685371041298,2.14414261337774,data/PSRJ1837–0616/img_Stokes_I/cutout-1312118-imagecube-246882.fits,1.1667662765830755,0.40383989367629086,data/PSRJ1837–0616/img_Stokes_V/cutout-1348512-imagecube-246894.fits,0.00358333333333333,0.00288888888888889,76.47
